Board/Commission,Member Name,City,County,Position,Term Begin,Term End↓,Gender,Party,Status
"Libraries, Commission of",Christopher Cox,Waverly,BREMER,Academic Librarian,2015-05-01,2019-04-30,Male,Dem,A
"Libraries, Commission of",Sarah Latcham,Wellman,WASHINGTON,Public Library Trustee,2015-05-01,2019-04-30,Female,Rep,A
Local Food and Farm Program Council,Warren Johnson,CHARITON,LUCAS,Rep for Resource Conservation and Development Office,2011-10-11,,Male,None,A
Local Food and Farm Program Council,Marcy Billings,West Des Moines,POLK,"Local distributor of food to processors, wholesalers or retailers",2013-06-14,,Female,None,A
Local Food and Farm Program Council,Teresa Wiemerslage,DORCHESTER,ALLAMAKEE,Rep from Regional Food Systems Working Group,2011-10-11,,Female,Rep,A
"Lottery Authority Board of Directors, Iowa",Ying Sa,Des Moines,POLK,Cpa,2014-05-01,2018-04-30,Female,None,A
"Lottery Authority Board of Directors, Iowa",Michael Klappholz,Cedar Rapids,LINN,Law Enforcement,2014-05-01,2018-04-30,Male,None,A
"Lottery Authority Board of Directors, Iowa",Connor Flynn,Des Moines,POLK,Citizen Member,2015-05-01,2019-04-30,Male,Rep,A
"Lottery Authority Board of Directors, Iowa",Mary Rathje,Marion,LINN,Citizen Member,2015-05-01,2019-04-30,Female,Rep,A
"Lottery Authority Board of Directors, Iowa",Mary Junge,Cedar Rapids,LINN,Attorney,2016-05-01,2020-04-30,Female,None,A
"Massage Therapy, Board of",Vacant,,,Licensed Massage Therapist,2008-05-01,2011-04-30,Male,Rep,V
"Massage Therapy, Board of",Vacant,,,Public Member,2010-05-01,2013-04-30,Female,Dem,V
"Massage Therapy, Board of",David Edwards,Des Moines,POLK,Public Member,2014-05-01,2017-04-30,Male,Rep,A
"Massage Therapy, Board of",Robert Johnson,Mason City,CERRO GORDO,Public Member,2014-05-01,2017-04-30,Male,Rep,A
"Massage Therapy, Board of",Jill Ellsworth,GRIMES,POLK,Licensed Massage Therapist,2014-05-01,2017-04-30,Female,Rep,A
"Massage Therapy, Board of",Catherine Sampson,Des Moines,POLK,Licensed Massage Therapist,2016-06-01,2019-04-30,Female,Dem,A
"Massage Therapy, Board of",Robin Markus,Dubuque,DUBUQUE,Licensed Massage Therapist,2016-05-01,2019-04-30,Female,None,A
"Medical Assistance Advisory Council, Iowa",Vacant,,,Consumer,2011-07-01,2013-06-30,,,V
"Medical Assistance Advisory Council, Iowa",Thomas Ryan,Mason City,CERRO GORDO,Consumer,2016-07-01,2017-06-30,Male,Dem,A
"Medical Assistance Advisory Council, Iowa",Marsha Fisher,Adel,DALLAS,Consumer,2016-07-01,2017-06-30,Female,Rep,A
"Medical Assistance Advisory Council, Iowa",Richard Crouch,Malvern,MILLS,Consumer,2016-07-01,2017-06-30,Male,Rep,A
"Medical Assistance Advisory Council, Iowa",Brandi Jensen,Earlham,DALLAS,Consumer,2016-07-01,2017-06-30,Female,None,A
"Medical Assistance Advisory Council, Iowa",Lori Allen,Ames,STORY,Consumer,2016-07-01,2017-06-30,Female,Dem,A
"Medical Assistance Advisory Council, Iowa",Julie Fugenschuh,Urbandale,POLK,Consumer,2016-07-01,2018-06-30,Female,Dem,A
"Medical Assistance Advisory Council, Iowa",David Hudson,Windsor Heights,POLK,Consumer,2016-07-01,2018-06-30,Male,Rep,A
"Medical Assistance Advisory Council, Iowa",David Selmon,Burl;ington,DES MOINES,Consumer,2016-07-01,2018-06-30,Male,Rep,A
"Medical Assistance Advisory Council, Iowa",Cecilia Tomlonovic,Des Moines,POLK,Consumer,2016-07-01,2018-06-30,Female,Dem,A
Medical Assistance Pharmaceutical and Therapeutic Committee,Charles Wadle,Wes Des Moines,POLK,Psychiatrist,2015-07-01,2017-06-30,Male,None,A
Medical Assistance Pharmaceutical and Therapeutic Committee,Heidi Price-Eastman,Urbandale,DALLAS,Pharmacist,2015-07-01,2017-06-30,Female,Rep,A
Medical Assistance Pharmaceutical and Therapeutic Committee,Jolene Kelly,AMES,STORY,Physician Assistant,2015-07-01,2017-06-30,Female,None,A
Medical Assistance Pharmaceutical and Therapeutic Committee,Holly Randleman,Des Moines,POLK,Pharmacist/ Research,2015-07-01,2017-06-30,Female,Rep,A
Medical Assistance Pharmaceutical and Therapeutic Committee,Carole Frier,DES MOINES,POLK,Physician,2015-07-01,2017-06-30,Female,None,A
Medical Assistance Pharmaceutical and Therapeutic Committee,Bruce Alexander,IOWA CITY,JOHNSON,Pharmacist,2015-07-01,2017-06-30,Male,Dem,A
Medical Assistance Pharmaceutical and Therapeutic Committee,Linda Gehrke,Iowa Falls,HARDIN,Health Care Professional,2015-07-16,2017-06-30,Female,None,A
Medical Assistance Pharmaceutical and Therapeutic Committee,Stephen Richards,SPIRIT LAKE,DICKINSON,Physician,2015-07-01,2017-06-30,Male,Rep,A
Medical Assistance Pharmaceutical and Therapeutic Committee,Mark Graber,SOLON,JOHNSON,Physician,2015-07-01,2017-06-30,Male,None,A
"Medicine, Board of",Ronald Cheney,Carroll,CARROLL,Licensed Osteopathic Physician,2014-05-01,2017-04-30,Male,Rep,A
"Medicine, Board of",Hamed Tewfik,IOWA CITY,JOHNSON,Licensed General Physician,2014-05-01,2017-04-30,Male,Rep,A
"Medicine, Board of",Diane Clark,LAKE MILLS,WINNEBAGO,Public Member,2014-05-01,2017-04-30,Female,Rep,A
"Medicine, Board of",Kyle Ulveling,Carroll,CARROLL,Licensed General Physician,2015-05-01,2018-04-30,Male,Dem,A
"Medicine, Board of",Mary Romanco,Pleasantville,WARREN,Public Member,2015-05-01,2018-04-30,Female,Dem,A
"Medicine, Board of",Charles Wadle,Wes Des Moines,POLK,Licensed Osteopathic Physician,2015-05-01,2018-04-30,Male,None,A
"Medicine, Board of",KellyAnn Light-McGroary,Solon,JOHNSON,Licensed General Physician,2016-05-01,2019-04-30,Female,None,A
"Medicine, Board of",Diane Cortese,Urbandale,POLK,Public Member,2016-05-01,2019-04-30,Female,Rep,A
"Medicine, Board of",Ronald Kolegraff,Milford,DICKINSON,Licensed General Physician,2016-05-01,2019-04-30,Male,Rep,A
"Medicine, Board of",Nicole Gilg Gachiani,Des Moines,POLK,Licensed General Physician,2016-05-01,2019-04-30,Female,Dem,A
Mental Health and Disability Services Commission,Vacant,,,Parent of Src Consumer,2010-05-01,2013-04-30,Male,Rep,V
Mental Health and Disability Services Commission,Thomas Bouska,Council Bluffs,POTTAWATTAMIE,DHS Nominee,2014-05-01,2017-04-30,Male,Rep,A
Mental Health and Disability Services Commission,Thomas Broeker,Burlington,DES MOINES,County Supervisor,2014-05-01,2017-04-30,Male,Rep,A
Mental Health and Disability Services Commission,Kathryn Johnson,Cedar Rapids,LINN,Provider-iacp,2014-05-01,2017-04-30,Female,Dem,A
Mental Health and Disability Services Commission,Lynn Grobe,OAKLAND,POTTAWATTAMIE,County Supervisor,2014-05-01,2017-04-30,Male,Rep,A
Mental Health and Disability Services Commission,Geoffrey Lauer,Iowa City,JOHNSON,Advocate - Brain Injury,2014-05-01,2017-04-30,Male,None,A
Mental Health and Disability Services Commission,Michael Polich,Windsor Heights,POLK,Behavioral Health Association Nominee,2014-05-01,2017-04-30,Male,Dem,A
Mental Health and Disability Services Commission,Jennifer Sheehan,Clarion,WRIGHT,CPC Administrator,2015-05-01,2018-04-30,Female,Rep,A
Mental Health and Disability Services Commission,Rebecca Schmitz,Fairfield,JEFFERSON,County Supervisor,2015-05-01,2018-04-30,Female,Dem,A
Mental Health and Disability Services Commission,Patrick Schmitz,Kingsley,PLYMOUTH,Cmhc Board Member-iacp,2015-05-01,2018-04-30,Male,None,A
Mental Health and Disability Services Commission,Jody Eaton,Newton,JASPER,CPC Admin.,2015-05-01,2018-04-30,Female,Rep,A
Mental Health and Disability Services Commission,John Parmeter,Des Moines,POLK,Provider- Child MHDD Serv,2015-05-01,2018-04-30,Male,Dem,A
Mental Health and Disability Services Commission,Rebecca Peterson,Clive,POLK,Advocate,2016-05-01,2019-04-30,Female,Rep,A
Mental Health and Disability Services Commission,Marsha Edgington,Osceola,CLARKE,DHS Nominee,2016-05-01,2019-04-30,Female,Dem,A
Mental Health and Disability Services Commission,Sharon Lambert,Coralville,JOHNSON,Parent of Child Consumer,2016-05-01,2019-04-30,Female,Dem,A
Mental Health and Disability Services Commission,Brett McLain,AMES,STORY,Veteran,2016-05-01,2019-04-30,Male,Dem,A
Mental Health and Disability Services Commission,Marilyn Seemann,Woodward,BOONE,Afscme,2016-05-01,2019-04-30,Female,Dem,A
Mental Health and Disability Services Commission,Betty King,Cedar Rapids,LINN,Consumer,2016-06-01,2019-04-30,Female,Dem,A
Mental Health Risk Pool Board,Shane Walter,ORANGE CITY,SIOUX,CPC Process Administrator,2014-05-01,2017-04-30,Male,Rep,A
Mental Health Risk Pool Board,Peggy Rice,DAKOTA CITY,HUMBOLDT,County Auditor,2014-05-01,2017-04-30,Female,Rep,A
Mental Health Risk Pool Board,Mechelle Dhondt,Cedar Rapids,LINN,CPC Process Administrator,2014-05-01,2017-04-30,Female,Rep,A
Mental Health Risk Pool Board,Linda Dunshee,Urbandale,POLK,Provider of MHDD Nom by Iacp,2015-05-01,2018-04-30,Female,None,A
Mental Health Risk Pool Board,Andrew Nielsen,Ankeny,POLK,Member of County Finance (not elected off),2015-05-01,2018-04-30,Male,Rep,A
Mental Health Risk Pool Board,Rick Larkin,Fort Madison,LEE,County Supervisor,2015-05-01,2018-04-30,Male,Dem,A
Mental Health Risk Pool Board,Patrick Schmitz,Kingsley,PLYMOUTH,Member of MHDS (not county supervisor),2015-05-01,2018-04-30,Male,None,A
Mental Health Risk Pool Board,Eugene Meiners,Templeton,CARROLL,County Supervisor,2016-05-01,2019-04-30,Male,Dem,A
Mental Health Risk Pool Board,Heidi Burhans,Truro,MADISON,County Auditor,2016-05-01,2019-04-30,Female,Rep,A
Mid-America Port Commission,Daniel Wiedemeier,BURLINGTON,DES MOINES,Iowa Appointee,2012-04-24,2017-04-30,Male,Rep,A
Midwest Interstate Low-level Radioactive Waste Compact Commission,Byron Moon,Des Moines,POLK,Iowa Commissioner,2014-01-13,,Male,Rep,A
Midwestern Higher Education Compact ,Olivia Madison,Ames,STORY,Governor's Designee,2015-05-01,2017-04-30,Female,Dem,A
Midwestern Higher Education Compact ,Brent Siegrist,COUNCIL BLUFFS,POTTAWATTAMIE,Alternate,2015-05-01,2017-04-30,Male,Rep,A
"Midwestern Radioactive Materials Transportation Committee, Council of Governments",Lance Evans,ANKENY,POLK,Iowa Rep,2011-03-11,,Male,None,A
Mississippi River Parkway Planning Commission,Vacant,,,Clayton,2009-07-01,2013-06-30,Female,None,V
Mississippi River Parkway Planning Commission,Vacant,,,Jackson,2011-07-01,2015-06-30,Female,Dem,V
Mississippi River Parkway Planning Commission,Daniel Petersen,Muscatine,MUSCATINE,Muscatine,2013-07-01,2017-06-30,Male,Rep,A
Mississippi River Parkway Planning Commission,Jay Schweitzer,Columbus Junction,LOUISA,Louisa,2013-07-01,2017-06-30,Male,Dem,A
Mississippi River Parkway Planning Commission,Scott Tunnicliff,Bettendorf,SCOTT,Scott,2014-04-09,2017-06-30,Male,Dem,A
Mississippi River Parkway Planning Commission,Jane Regan,HARPERS FERRY,ALLAMAKEE,Allamakee,2013-07-01,2017-06-30,Female,Rep,A
Mississippi River Parkway Planning Commission,Lisa Walsh,BURLINGTON,DES MOINES,Des Moines,2015-08-06,2019-06-30,Female,Rep,A
Mississippi River Parkway Planning Commission,John Goodmann,DUBUQUE,DUBUQUE,Dubuque,2015-07-01,2019-06-30,Male,Dem,A
Mississippi River Parkway Planning Commission,Edith Pfeffer,CLINTON,CLINTON,Clinton,2015-07-01,2019-06-30,Female,Rep,A
Mississippi River Parkway Planning Commission,Martin Graber,Fort Madison,LEE,Lee,2015-07-16,2019-06-30,Male,Rep,A
Mississippi River Partnership Council,Vacant,,,Business interest,2010-06-25,2011-06-30,Male,Rep,V
Mississippi River Partnership Council,Vacant,,,Soild & Water Conservation Districts,2010-06-25,2011-06-30,Female,Rep,V
Mississippi River Partnership Council,Vacant,,,Conservation Interest,2010-06-25,2011-06-30,Male,Dem,V
Mississippi River Partnership Council,Vacant,,,Environmental Interest,2010-06-25,2013-06-30,Male,Dem,V
Mississippi River Partnership Council,Vacant,,,Chair,2010-06-25,2013-06-30,Female,None,V
Mississippi River Partnership Council,Vacant,,,Recreational Interest,2010-06-25,2013-06-30,Female,None,V
Mississippi River Partnership Council,Amy Echard,Farmersburg,CLAYTON,Agricultural Interest,2016-07-01,2019-06-30,Female,None,A
Missouri River Recovery Implementation Committee,Shawn Shouse,Atlantic,CASS,Iowa Representative,2015-05-01,2018-04-30,Male,Rep,A
"Mortuary Science, Board of",Martin Mitchell,MARSHALLTOWN,MARSHALL,Cremation Specialist,2014-05-01,2017-04-30,Male,Rep,A
"Mortuary Science, Board of",Rebecca Ervin,URBANDALE,DALLAS,Public Member,2014-05-01,2017-04-30,Female,Rep,A
"Mortuary Science, Board of",Todd Kale,OSCEOLA,CLARKE,Lic. Funeral Director,2014-05-01,2017-04-30,Male,Rep,A
"Mortuary Science, Board of",Norene Mostkoff,WAUKEE,DALLAS,Public Member,2015-05-01,2018-04-30,Female,None,A
"Mortuary Science, Board of",Bradley Hawn,SPENCER,CLAY,Lic. Funeral Director,2015-05-01,2018-04-30,Male,None,A
"Mortuary Science, Board of",Carl Linge,Cedar Rapids,LINN,Lic. Funeral Director,2016-05-01,2019-04-30,Male,Rep,A
"Mortuary Science, Board of",Kimberly Doehrmann,Williamsburg,IOWA,Lic. Funeral Director,2016-05-01,2019-04-30,Female,None,A
"Native American Affairs, Commission of",Vacant,,,Tribal Government - Winnebago,2008-08-29,2011-04-30,Female,Dem,V
"Native American Affairs, Commission of",Vacant,,,Tribal Government - Omaha,2008-08-29,2011-04-30,Male,Dem,V
"Native American Affairs, Commission of",Vacant,,,Native American Living On a Settlement,2008-08-29,2013-04-30,Male,None,V
"Native American Affairs, Commission of",Dirk Whitebreast,TAMA,TAMA,Member,2013-05-01,2017-04-30,Male,None,A
"Native American Affairs, Commission of",Crystal Davis,Waterloo,BLACK HAWK,Tribal Government - Ponca,2015-05-01,2017-04-30,Female,Dem,A
"Native American Affairs, Commission of",Karen Mackey,Sioux City,WOODBURY,Member,2013-05-01,2017-04-30,Female,Dem,A
"Native American Affairs, Commission of",Joe Coulter,Iowa City,JOHNSON,Member,2013-05-01,2017-04-30,Male,Dem,A
"Native American Affairs, Commission of",Dawn Buffalo,Tama,TAMA,Tribal Government - Meskwaki,2013-05-01,2017-04-30,Female,Dem,A
"Native American Affairs, Commission of",Vicky Apala-Cuevas,Davenport,IOWA,Member,2015-05-01,2019-04-30,Female,Dem,A
"Native American Affairs, Commission of",Kelly Montijo Fink,HIAWATHA,LINN,Member,2015-05-01,2019-04-30,Female,Rep,A
"Native American Affairs, Commission of",Timothy Perkins,Johnston,POLK,Member,2016-05-01,2020-04-30,Male,None,A
Natural Resource Commission,Margo Underwood,CLEAR LAKE,CERRO GORDO,,2011-05-01,2017-04-30,Female,Rep,A
Natural Resource Commission,Sally Prickett,GLENWOOD,MILLS,,2011-05-01,2017-04-30,Female,Rep,A
Natural Resource Commission,Conrad Clement,CRESCO,HOWARD,,2011-05-01,2017-04-30,Male,Rep,A
Natural Resource Commission,Marcus Branstad,Adel,POLK,,2013-05-01,2019-04-30,Male,Rep,A
Natural Resource Commission,Phyllis Reimer,Crescent,POTTAWATTAMIE,,2013-05-01,2019-04-30,Female,Dem,A
Natural Resource Commission,Richard Francisco,Lucas,LUCAS,,2015-05-01,2021-04-30,Male,None,A
Natural Resource Commission,Dennis Schemmel,Grimes,POLK,,2015-05-01,2021-04-30,Male,Dem,A
Nonpublic School Advisory Committee,Vacant,,,Catholic Schools,2006-07-01,2010-06-30,Male,None,V
Nonpublic School Advisory Committee,Vacant,,,Catholic Schools,2010-07-01,2014-06-30,Female,Dem,V
Nonpublic School Advisory Committee,Kimberly Hermsen,New Vienna,IOWA,Catholic Schools,2015-02-02,2018-06-30,Female,None,A
Nonpublic School Advisory Committee,Merrilee Sump,Clarinda,PAGE,Lutheran Schools,2014-07-01,2018-06-30,Female,Rep,A
Nonpublic School Advisory Committee,Wayne Dykstra,ORANGE CITY,SIOUX,Christians Schools,2014-07-01,2018-06-30,Male,Rep,A
"Nuclear Regulatory Commission, United States",Angela Leek,Norwalk,WARREN,State Liaison Officer,2016-09-29,2019-01-01,Female,None,A
"Nursing Home Administrators, Board of",Daniel Boor,DES MOINES,POLK,Licensed Nursing Home Administrator,2014-05-01,2017-04-30,Male,Rep,A
"Nursing Home Administrators, Board of",Michael Jenison,Ankeny,POLK,Licensed Health Professional,2014-05-01,2017-04-30,Male,None,A
"Nursing Home Administrators, Board of",Patrice Herrera,Ankeny,POLK,Lic. Health Care Professional,2015-05-01,2018-04-30,Female,None,A
"Nursing Home Administrators, Board of",Effie Hill,FORT DODGE,WEBSTER,Public Member,2016-05-01,2018-04-30,Female,Rep,A
"Nursing Home Administrators, Board of",David Chensvold,Marion,LINN,Licensed Nursing Home Administrator - Nonprofit,2015-05-01,2018-04-30,Male,Rep,A
"Nursing Home Administrators, Board of",Charlean Schlepp,Coon Rapids,CARROLL,Licensed Nursing Home Administrator - Nonprofit,2015-05-01,2018-04-30,Female,Dem,A
"Nursing Home Administrators, Board of",Patricia Hoffman-Simanek,CEDAR RAPIDS,LINN,Public Member,2015-05-01,2018-04-30,Female,Rep,A
"Nursing Home Administrators, Board of",Lanny Ward,Indianola,WARREN,Nursing Home Administrator,2016-05-01,2019-04-30,Male,Dem,A
"Nursing Home Administrators, Board of",Karol Dammann,Manning,CARROLL,Lic. Health Care Professional,2016-05-01,2019-04-30,Female,None,A
"Nursing, Board of",Vacant,,,Public Member,2010-05-01,2013-02-28,Male,Rep,V
"Nursing, Board of",Gwen Suntken,MESERVEY,HANCOCK,Registered Nurse,2014-05-01,2017-04-30,Female,Rep,A
"Nursing, Board of",LeRoy Strohman,ALGONA,KOSSUTH,Public Member,2014-05-01,2017-04-30,Male,Rep,A
"Nursing, Board of",Debra Larson,MARION,LINN,Licensed Practical Nurse,2014-05-01,2017-04-30,Female,None,A
"Nursing, Board of",Kathryn Dolter,Dubuque,DUBUQUE,Reg. Nurse-edu. Comm. College,2015-05-01,2018-04-30,Female,None,A
"Nursing, Board of",Mark Odden,Manchester,DELAWARE,Registered Nurse,2016-05-01,2019-04-30,Male,Rep,A
"Nursing, Board of",Nancy Kramer,Independence,BUCHANAN,Registered Nurse - Educator Higher Education,2016-05-01,2019-04-30,Female,Rep,A
"Optometry, Board of",Jacqueline (Jackie) Pullen,West Des Moines,POLK,Public Member,2014-05-01,2017-04-30,Female,None,A
"Optometry, Board of",Michael Portz,RED OAK,MONTGOMERY,Licensed Optometrist,2014-05-01,2017-04-30,Male,Rep,A
"Optometry, Board of",Scott Ihrke,LE MARS,PLYMOUTH,Licensed Optometrist,2014-05-01,2017-04-30,Male,Rep,A
"Optometry, Board of",Mark Mentzer,ELY,LINN,Licensed Optometrist,2015-05-01,2018-04-30,Male,None,A
"Optometry, Board of",Monique Root,Urbandale,DALLAS,Licensed Optometrist,2015-05-01,2018-04-30,Female,Rep,A
"Optometry, Board of",Thomas Hayden,Newton,JASPER,Licensed Optometrist,2016-05-01,2019-04-30,Male,None,A
"Optometry, Board of",Tamie Stahl,CEDAR FALLS,BLACK HAWK,Public Member,2016-05-01,2019-04-30,Female,Rep,A
Organic Advisory Council,Vacant,,,Organic Farmer,2008-05-01,2010-04-30,Female,Rep,V
Organic Advisory Council,Vacant,,,Degree In Ag Or Food Science,2008-05-01,2012-04-30,Male,Dem,V
Organic Advisory Council,Tamra Garman,Williamsburg,IOWA,Organic Ag Processing Business,2013-05-01,2017-04-30,Female,None,A
Organic Advisory Council,Jolene Caldwell,Council Bluffs,POTTAWATTAMIE,Organic Farmer-crop,2014-05-01,2018-04-30,Female,Rep,A
Organic Advisory Council,Danielle Wirth,Woodward,BOONE,Public Member,2014-05-01,2018-04-30,Female,Dem,A
"Parole, Board of",Sheila Wilson,WEST DES MOINES,POLK,Member,2013-05-01,2017-04-30,Female,Dem,A
"Parole, Board of","Charles Larson, Sr.",Des Moines,POLK,Member,2013-10-09,2017-04-30,Male,Rep,A
"Parole, Board of",John Hodges,Bondurant,POLK,Chair,2014-05-19,2018-04-30,Male,Rep,A
"Parole, Board of",Norman Granger,Waterloo,BLACK HAWK,Vice-Chair,2014-08-28,2018-04-30,Male,Rep,A
"Parole, Board of",Susan Lerdal,Urbandale,POLK,Layperson-Member,2016-05-01,2020-04-30,Female,None,A
"Parole, Board of - Alternate members",W. Ray Richardson,Waterloo,BLACK HAWK,Alternate Member,2013-07-01,2017-04-30,Male,Dem,A
"Parole, Board of - Alternate members",Jacklyn Romp,DES MOINES,POLK,Alternate Member,2013-07-01,2017-04-30,Female,Rep,A
"Parole, Board of - Alternate members",Nancy Boyd,Urbandale,POLK,Alternate Member,2013-07-01,2017-04-30,Female,Rep,A
Peace Officers Retirement Accident and Disability Systems Trustee,Chris Mayer,Waukee,IOWA,Public,2016-05-01,2018-04-30,Male,Rep,A
"Persons with Disabilities, Commission of",Vacant,,,Advocate / Person with Disability,2010-07-15,2012-06-30,Male,None,V
"Persons with Disabilities, Commission of",Laura Herrity,West Des Moines,POLK,Advocate,2014-05-01,2018-04-30,Female,Rep,A
"Persons with Disabilities, Commission of",David Bert,Perry,DALLAS,Advocate / Family Member of Person with Disability,2014-05-01,2018-04-30,Male,None,A
"Persons with Disabilities, Commission of",Michelle Ray-Michalec,Cedar Rapids,LINN,Parent of a Person with Disability,2014-05-01,2018-04-30,Female,Dem,A
"Persons with Disabilities, Commission of",Gary Schriver,MASON CITY,CERRO GORDO,Person with Disability,2014-05-01,2018-04-30,Male,None,A
"Persons with Disabilities, Commission of",Joe Hickey,Dubuque,DUBUQUE,Person with Disability,2016-05-01,2020-04-30,Male,Dem,A
"Persons with Disabilities, Commission of",Prakash Kopparapu,West Des Moines,POLK,Person with Disability / Family Member of Person with Disability,2016-05-01,2020-04-30,Male,None,A
"Petroleum Underground Storage Tank Fund Board, Iowa Comprehensive",Douglas Beech,Ankeny,POLK,Owner Operator-self Insured,2013-05-01,2017-04-30,Male,None,A
"Petroleum Underground Storage Tank Fund Board, Iowa Comprehensive",Timothy Gartin,AMES,STORY,Public Member,2013-05-01,2017-04-30,Male,Rep,A
"Petroleum Underground Storage Tank Fund Board, Iowa Comprehensive",Karen Andeweg,URBANDALE,POLK,Public Member,2015-05-01,2019-04-30,Female,None,A
"Petroleum Underground Storage Tank Fund Board, Iowa Comprehensive",Dawn Carlson,Dallas Center,DALLAS,Petroleum Marketer Member,2015-05-01,2019-04-30,Female,None,A
"Petroleum Underground Storage Tank Fund Board, Iowa Comprehensive","N. Kurt Mumm, Jr",Johnston,IOWA,Public Member,2016-05-01,2020-04-30,Male,Rep,A
"Petroleum Underground Storage Tank Fund Board, Iowa Comprehensive",Patricia Beck,Carroll,CARROLL,Owner/Operator,2016-08-11,2020-04-30,Female,Rep,A
"Pharmacy, Board of",LaDonna Gratias,CLIVE,DALLAS,Public Member,2014-05-01,2017-04-30,Female,Rep,A
"Pharmacy, Board of",James Miller,DUBUQUE,DUBUQUE,Licensed Pharmacist,2014-05-01,2017-04-30,Male,None,A
"Pharmacy, Board of",Edward Maier,MAPLETON,MONONA,Licensed Pharmacist,2014-05-01,2017-04-30,Male,Rep,A
"Pharmacy, Board of",Edward McKenna,Storm Lake,BUENA VISTA,Licensed Pharmacist,2015-05-01,2018-04-30,Male,None,A
"Pharmacy, Board of",Jason Hansel,Bettendorf,SCOTT,Licensed Pharmacist,2015-05-01,2018-04-30,Male,None,A
"Pharmacy, Board of",Kay Jessen,Manson,CALHOUN,Public Member,2016-05-01,2019-04-30,Female,Rep,A
"Pharmacy, Board of",Sharon Meyer,URBANDALE,POLK,Licensed Pharmacist,2016-05-01,2019-04-30,Female,Dem,A
"Physical and Occupational Therapy, Board of",Melinda Shetler,North Liberty,JOHNSON,Licensed Occupational Therapist,2014-05-01,2017-04-30,Female,None,A
"Physical and Occupational Therapy, Board of",Bradley Earp,WEST DES MOINES,POLK,Licensed Physical Therapist,2014-05-01,2017-04-30,Male,Rep,A
"Physical and Occupational Therapy, Board of",Robert Palmer,West Des Moines,IOWA,Public Member,2015-05-01,2017-04-30,Male,None,A
"Physical and Occupational Therapy, Board of",Rachel Judisch,Lake View,SAC,Public Member,2015-05-01,2018-04-30,Female,Rep,A
"Physical and Occupational Therapy, Board of",Jeramy Kuhn,West Des Moines,DALLAS,Licensed Physical Therapist,2016-05-01,2019-04-30,Male,Rep,A
"Physical and Occupational Therapy, Board of",Stephanie Kelsick,alleman,IOWA,Licensed Physical Therapist,2016-05-01,2019-04-30,Female,Dem,A
"Physical and Occupational Therapy, Board of",Holly Little,Waverly,BREMER,Licensed Occupational Therapist,2016-05-01,2019-04-30,Female,Dem,A
"Physician Assistants, Board of",Peter Stopulos,Bettendorf,SCOTT,Public Member,2014-05-01,2017-04-30,Male,Rep,A
"Physician Assistants, Board of",Jon Ahrendsen,CLARION,WRIGHT,Licensed Medical Physician County < 50k,2014-05-01,2017-04-30,Male,Rep,A
"Physician Assistants, Board of",Penny Osborn,Stratford,HAMILTON,Licensed Pa County < 50k,2016-05-01,2018-04-30,Female,Rep,A
"Physician Assistants, Board of",Jolene Kelly,Ames,IOWA,Licensed Physician Assistant,2015-05-01,2018-04-30,Female,None,A
"Physician Assistants, Board of",Dennis Janssen,Clive,POLK,Public Member,2015-05-01,2018-04-30,Male,Rep,A
"Physician Assistants, Board of",Melissa Gentry,OLLIE,KEOKUK,Licensed Physician Assistant,2016-05-01,2019-04-30,Female,None,A
"Physician Assistants, Board of",Michael Schnurr,Roland,STORY,Licensed Physician Assistant,2016-05-01,2019-04-30,Male,Dem,A
"Physician Assistants, Board of",Thomas Green,Clive,POLK,Licensed Osteopathic Physician,2016-05-01,2019-04-30,Male,Rep,A
"Physician Assistants, Board of",Susan Koehler,Des Moines,POLK,Lic. Physician Assisant,2016-05-01,2019-04-30,Female,None,A
Plumbing and Mechanical Systems Board,Vacant,,,Mechanical Inspector,2009-05-01,2012-04-30,Male,Dem,V
Plumbing and Mechanical Systems Board,Jason Hayes,Norwalk,MADISON,Journey Mechanical Pro,2015-05-01,2017-04-30,Male,None,A
Plumbing and Mechanical Systems Board,Jim Cooper,URBANDALE,POLK,Mst Mechanical Pro/contractor,2014-05-01,2017-04-30,Male,Rep,A
Plumbing and Mechanical Systems Board,Carol Crane,Knoxville,MARION,Journey Plumber - Union,2014-05-01,2017-04-30,Female,None,A
Plumbing and Mechanical Systems Board,Toni Knight,Ankeny,POLK,Mst. Mechanical Pro-nonunion,2015-05-01,2018-04-30,Female,Dem,A
Plumbing and Mechanical Systems Board,Susan Pleva,WOODWARD,DALLAS,Rural Contractor,2015-05-01,2018-04-30,Female,Rep,A
Plumbing and Mechanical Systems Board,Robert Kunkel,Clarence,CEDAR,Journey Mechanical Pro - Union,2016-05-01,2019-04-30,Male,Rep,A
Plumbing and Mechanical Systems Board,Donald Hansen,Des Moines,POLK,Plumbing Inspector,2016-05-01,2019-04-30,Male,Rep,A
Plumbing and Mechanical Systems Board,Kevin Kiene,Riverside,WASHINGTON,Plumb Cont/mst Plumb-nonunion,2016-05-01,2019-04-30,Male,None,A
"Podiatry, Board of",Vacant,,,Public Member,2009-05-01,2012-04-30,Female,Dem,V
"Podiatry, Board of",Vacant,,,Licensed Podiatrist,2013-05-01,2016-04-30,Female,Rep,V
"Podiatry, Board of",John Bennett,WEST DES MOINES,DALLAS,Licensed Podiatrist,2014-05-01,2017-04-30,Male,Rep,A
"Podiatry, Board of",Gerald Edgar,GARNER,HANCOCK,Public Member,2014-05-01,2017-04-30,Male,Rep,A
